Link,Địa chỉ,Giá tổng,Giá/m²,Số phòng ngủ,Số phòng vệ sinh,Tổng số tầng,Giấy tờ pháp lý,Loại hình nhà ở,Chiều ngang,Chiều dài,Diện tích sử dụng,Diện tích đất,Hướng cửa chính,Tình trạng nội thất
https://www.nhatot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/120637301.htm,"Phố Yên Lộ, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội","4,9 tỷ","89,09 triệu/m²",3 phòng,4 phòng,5,Đã có sổ,"Nhà ngõ, hẻm",,,,55 m²,,
https://www.nhatot.com/mua-ban-nha-dat-quan-ba-dinh-ha-noi/120637209.htm,"Đường Hoàng Hoa Thám, Phường Liễu Giai, Quận Ba Đình, Hà Nội","6,9 tỷ","191,67 triệu/m²",3 phòng,3 phòng,4,Đã có sổ,"Nhà ngõ, hẻm",4 m,9 m,35 m²,36 m²,,Nội thất đầy đủ
https://www.nhatot.com/mua-ban-nha-dat-huyen-thanh-tri-ha-noi/120637114.htm,"Đường Yên Xá, Xã Tân Triều, Huyện Thanh Trì, Hà Nội",14 tỷ,"215,38 triệu/m²",5 phòng,,,Đã có sổ,"Nhà mặt phố, mặt tiền",4 m,,230 m²,65 m²,,
https://www.nhatot.com/mua-ban-nha-dat-quan-long-bien-ha-noi/119979808.htm,"Phố Đàm Quang Trung, Phường Long Biên, Quận Long Biên, Hà Nội","5,35 tỷ","172,58 triệu/m²",3 phòng,4 phòng,5,Đã có sổ,"Nhà ngõ, hẻm",3.5 m,,31 m²,31 m²,,Nội thất đầy đủ
https://www.nhatot.com/mua-ban-nha-dat-quan-tay-ho-ha-noi/120567549.htm,"Đường Lạc Long Quân, Phường Xuân La, Quận Tây Hồ, Hà Nội","7,95 tỷ","198,75 triệu/m²",4 phòng,,5,Đã có sổ,"Nhà ngõ, hẻm",,,40 m²,40 m²,,Nội thất đầy đủ
https://www.nhatot.com/mua-ban-nha-dat-huyen-thanh-tri-ha-noi/120636866.htm,"Hữu Lê, Xã Hữu Hoà, Huyện Thanh Trì, Hà Nội","4,45 tỷ","117,11 triệu/m²",4 phòng,3 phòng,4,Đã có sổ,"Nhà ngõ, hẻm",,,38 m²,38 m²,,Nội thất đầy đủ
https://www.nhatot.com/mua-ban-nha-dat-quan-hoang-mai-ha-noi/120636796.htm,"Phố Vĩnh Hưng, Phường Vĩnh Hưng, Quận Hoàng Mai, Hà Nội","5,68 tỷ","177,50 triệu/m²",3 phòng,,6,Đã có sổ,"Nhà ngõ, hẻm",,,,32 m²,,
https://www.nhatot.com/mua-ban-nha-dat-quan-ba-dinh-ha-noi/120636724.htm#px=SR-special_display_ad-[PO-8][PL-default],"Phố Đội Cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội","6,98 tỷ","183,68 triệu/m²",3 phòng,,5,Đã có sổ,"Nhà ngõ, hẻm",,,,38 m²,,
https://www.nhatot.com/mua-ban-nha-dat-quan-dong-da-ha-noi/120636671.htm,"Phố Hoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội","11,9 tỷ","198,33 triệu/m²",4 phòng,5 phòng,,Đã có sổ,"Nhà ngõ, hẻm",3.9 m,15 m,60 m²,60 m²,,Nội thất cao cấp
https://www.nhatot.com/mua-ban-nha-dat-quan-long-bien-ha-noi/119957697.htm,"Phố Xuân Đỗ, Phường Cự Khối, Quận Long Biên, Hà Nội","5,65 tỷ","94,17 triệu/m²",3 phòng,2 phòng,3,Đã có sổ,"Nhà ngõ, hẻm",6.5 m,,160 m²,60 m²,,Nội thất đầy đủ
https://www.nhatot.com/mua-ban-nha-dat-quan-hai-ba-trung-ha-noi/120636575.htm,"Phố Minh Khai, Phường Thanh Lương, Quận Hai Bà Trưng, Hà Nội","5,95 tỷ","148,75 triệu/m²",4 phòng,4 phòng,5,Đã có sổ,"Nhà ngõ, hẻm",5 m,8 m,40 m²,40 m²,,
